full_name,first_name,last_name,country,dob,id,club_avg,nt_avg,player_avg,years_active,score,category,,,
Sejad Salihovic,Sejad,Salihovic,Bosnia-and-Herzegovina,08-10-84,90644,0.23,0.09,0.16,12,-0.14,Underscorer,,,
Senijad Ibricic,Senijad,Ibricic,Bosnia-and-Herzegovina,26-09-85,105868,0.51,0.03,0.27,12,-0.48,Extreme Underscorer,,,
Zvjezdan Misimovic,Zvjezdan,Misimovic,Bosnia-and-Herzegovina,05-06-82,115103,0.19,0.16,0.18,10,-0.03,Neutral,,,
Stanislav Manolev,Stanislav,Manolev,Bulgaria,16-12-85,1060,0.03,0.08,0.06,11,0.05,Neutral,,,
Dimitar Rangelov,Dimitar,Rangelov,Bulgaria,09-02-83,26230,0.26,0.22,0.24,14,-0.04,Neutral,,,
Ivelin Popov,Ivelin,Popov,Bulgaria,26-10-87,53530,0.21,0.25,0.23,13,0.04,Neutral,,,
Dimitar Berbatov,Dimitar,Berbatov,Bulgaria,30-01-81,113639,0.37,0.69,0.53,12,0.32,National Pride,,,
Martin Petrov,Martin,Petrov,Bulgaria,15-01-79,114864,0.17,0.25,0.21,12,0.08,Neutral,,,
Chavdar Yankov,Chavdar,Yankov,Bulgaria,29-03-84,242429,0.06,0.29,0.18,10,0.23,National Pride,,,
Nikola Kalinic,Nikola,Kalinic,Croatia,05-01-88,57,0.33,0.34,0.34,15,0.01,Neutral,,,
Ivan Rakitic,Ivan,Rakitic,Croatia,10-03-88,149,0.14,0.11,0.13,15,-0.03,Neutral,,,
Marcelo Brozovic,Marcelo,Brozovic,Croatia,16-11-92,201,0.13,0.18,0.16,10,0.05,Neutral,,,
Ivan Perisic,Ivan,Perisic,Croatia,02-02-89,207,0.26,0.17,0.22,12,-0.09,Neutral,,,
Andrej Kramaric,Andrej,Kramaric,Croatia,19-06-91,726,0.42,0.2,0.31,11,-0.22,Extreme Underscorer,,,
Luka Modric,Luka,Modric,Croatia,09-09-85,754,0.12,0.12,0.12,15,0,Neutral,,,
Nikola Vlasic,Nikola,Vlasic,Croatia,04-10-97,842,0.18,0.13,0.16,6,-0.05,Neutral,,,
Mario Mandžukic,Mario,Mandžukic,Croatia,21-05-86,878,0.36,0.3,0.33,15,-0.06,Neutral,,,
Bruno Petkovic,Bruno,Petkovic,Croatia,16-09-94,1331,0.14,0.75,0.45,8,0.61,National Pride,,,
Nikica Jelavic,Nikica,Jelavic,Croatia,27-08-85,12464,0.38,0.21,0.3,12,-0.17,Underscorer,,,
Darijo Srna,Darijo,Srna,Croatia,01-05-82,30557,0.07,0.17,0.12,15,0.1,Top Scorer,,,
Eduardo da Silva,Eduardo,da Silva,Croatia,25-02-83,80360,0.36,0.41,0.39,14,0.05,Neutral,,,
Ivica Olic,Ivica,Olic,Croatia,14-09-79,90712,0.3,0.19,0.25,15,-0.11,Underscorer,,,
Niko Kranjcar,Niko,Kranjcar,Croatia,13-08-84,104745,0.14,0.16,0.15,13,0.02,Neutral,,,
Mladen Petric,Mladen,Petric,Croatia,01-01-81,114793,0.33,0.24,0.29,15,-0.09,Neutral,,,
Patrik Schick,Patrik,Schick,Czech-Republic,24-01-96,794,0.22,0.43,0.33,7,0.21,National Pride,,,
Michal Krmencík,Michal,Krmencík,Czech-Republic,15-03-93,820,0.38,0.23,0.31,10,-0.15,Underscorer,,,
Matej Vydra,Matej,Vydra,Czech-Republic,01-05-92,18930,0.21,0.09,0.15,11,-0.12,Underscorer,,,
Vladimír Darida,Vladimír,Darida,Czech-Republic,08-08-90,25348,0.1,0.13,0.12,11,0.03,Neutral,,,
Antonín Barák,Antonín,Barák,Czech-Republic,03-12-94,30803,0.1,0.42,0.26,8,0.32,National Pride,,,
Borek Dockal,Borek,Dockal,Czech-Republic,30-09-88,55875,0.18,0.16,0.17,12,-0.02,Neutral,,,
Milan Baros,Milan,Baros,Czech-Republic,28-10-81,66078,0.33,0.39,0.36,18,0.06,Neutral,,,
Michal Kadlec,Michal,Kadlec,Czech-Republic,13-12-84,66090,0.06,0.08,0.07,15,0.02,Neutral,,,
Václav Pilar,Václav,Pilar,Czech-Republic,13-10-88,66281,0.09,0.12,0.11,10,0.03,Neutral,,,
Jan Polák,Jan,Polák,Czech-Republic,14-03-81,66607,0.05,0.11,0.08,13,0.06,Neutral,,,
Tomás Sivok,Tomás,Sivok,Czech-Republic,15-09-83,105277,0.1,0.12,0.11,14,0.02,Neutral,,,
David Lafata,David,Lafata,Czech-Republic,18-09-81,105715,0.45,0.27,0.36,14,-0.18,Underscorer,,,
Tomás Rosicky,Tomás,Rosicky,Czech-Republic,04-10-80,105800,0.1,0.19,0.15,14,0.09,Neutral,,,
Thomas Delaney,Thomas,Delaney,Denmark,03-09-91,15,0.09,0.05,0.07,11,-0.04,Neutral,,,
Christian Eriksen,Christian,Eriksen,Denmark,14-02-92,174,0.21,0.39,0.3,11,0.18,Top Scorer,,,
Kasper Dolberg,Kasper,Dolberg,Denmark,06-10-97,550,0.29,0.21,0.25,5,-0.08,Neutral,,,
Nicklas Bendtner,Nicklas,Bendtner,Denmark,16-01-88,1187,0.21,0.36,0.29,15,0.15,Top Scorer,,,
Andreas Cornelius,Andreas,Cornelius,Denmark,16-03-93,1274,0.25,0.38,0.32,9,0.13,Top Scorer,,,
Martin Braithwaite,Martin,Braithwaite,Denmark,05-06-91,2737,0.19,0.16,0.18,11,-0.03,Neutral,,,
Daniel Agger,Daniel,Agger,Denmark,12-12-84,114778,0.04,0.11,0.08,12,0.07,Neutral,,,
Jon Dahl Tomasson,Jon Dahl,Tomasson,Denmark,29-08-76,117965,0.36,0.37,0.37,17,0.01,Neutral,,,
Dennis Rommedahl,Dennis,Rommedahl,Denmark,22-07-78,117966,0.08,0.24,0.16,15,0.16,Top Scorer,,,
Harry Kane,Harry,Kane,England,28-07-93,184,0.52,0.82,0.67,10,0.3,National Pride,,,
Alex Oxlade-Chamberlain,Alex,Oxlade-Chamberlain,England,15-08-93,297,0.11,0.16,0.14,11,0.05,Neutral,,,
Daniel Sturridge,Daniel,Sturridge,England,01-09-89,308,0.32,0.13,0.23,14,-0.19,Underscorer,,,
Raheem Sterling,Raheem,Sterling,England,08-12-94,645,0.29,0.21,0.25,9,-0.08,Neutral,,,
Marcus Rashford,Marcus,Rashford,England,31-10-97,909,0.33,0.3,0.32,5,-0.03,Neutral,,,
Danny Welbeck,Danny,Welbeck,England,26-11-90,1469,0.22,0.27,0.25,13,0.05,Neutral,,,
Jermain Defoe,Jermain,Defoe,England,07-10-82,1758,0.36,0.3,0.33,18,-0.06,Neutral,,,
Theo Walcott,Theo,Walcott,England,16-03-89,18769,0.24,0.1,0.17,15,-0.14,Underscorer,,,
Jamie Vardy,Jamie,Vardy,England,11-01-87,18788,0.38,0.16,0.27,10,-0.22,Extreme Underscorer,,,
Peter Crouch,Peter,Crouch,England,30-01-81,18928,0.24,0.33,0.29,17,0.09,Neutral,,,
Wayne Rooney,Wayne,Rooney,England,24-10-85,50773,0.4,0.38,0.39,18,-0.02,Neutral,,,
Joe Cole,Joe,Cole,England,08-11-81,102748,0.11,0.15,0.13,15,0.04,Neutral,,,
Steven Gerrard,Steven,Gerrard,England,20-06-78,105426,0.33,0.24,0.29,15,-0.09,Neutral,,,
Frank Lampard,Frank,Lampard,England,20-06-78,105426,0.33,0.24,0.29,15,-0.09,Neutral,,,
Michael Owen,Michael,Owen,England,14-12-79,114815,0.37,0.41,0.39,11,0.04,Neutral,,,
Antoine Griezmann,Antoine,Griezmann,France,21-03-91,56,0.37,0.42,0.4,11,0.05,Neutral,,,
Kylian Mbappé,Kylian,Mbappé,France,20-12-98,278,0.57,0.33,0.45,5,-0.24,Extreme Underscorer,,,
Franck Ribéry,Franck,Ribéry,France,07-04-83,515,0.27,0.16,0.22,16,-0.11,Underscorer,,,
Karim Benzema,Karim,Benzema,France,19-12-87,759,0.47,0.32,0.4,15,-0.15,Underscorer,,,
Blaise Matuidi,Blaise,Matuidi,France,09-04-87,869,0.07,0.06,0.07,15,-0.01,Neutral,,,
Paul Pogba,Paul,Pogba,France,15-03-93,904,0.15,0.07,0.11,10,-0.08,Neutral,,,
Mathieu Valbuena,Mathieu,Valbuena,France,28-09-84,1367,0.14,0.19,0.17,14,0.05,Neutral,,,
Dimitri Payet,Dimitri,Payet,France,29-03-87,1912,0.22,0.09,0.16,15,-0.13,Underscorer,,,
Olivier Giroud,Olivier,Giroud,France,30-09-86,2295,0.37,0.42,0.4,14,0.05,Neutral,,,
Sidney Govou,Sidney,Govou,France,27-07-79,21881,0.09,0.18,0.14,10,0.09,Neutral,,,
Nicolas Anelka,Nicolas,Anelka,France,14-03-79,114772,0.29,0.32,0.31,11,0.03,Neutral,,,
Thierry Henry,Thierry,Henry,France,17-08-77,114876,0.46,0.41,0.44,12,-0.05,Neutral,,,
David Trezeguet,David,Trezeguet,France,15-10-77,117095,0.41,0.41,0.41,10,0,Neutral,,,
Mario Götze,Mario,Götze,Germany,03-06-92,16,0.22,0.17,0.2,11,-0.05,Neutral,,,
Marco Reus,Marco,Reus,Germany,31-05-89,25,0.43,0.29,0.36,12,-0.14,Underscorer,,,
Julian Draxler,Julian,Draxler,Germany,20-09-93,267,0.16,0.12,0.14,10,-0.04,Neutral,,,
Sèrge Gnabry,Sèrge,Gnabry,Germany,14-07-95,510,0.28,0.69,0.49,8,0.41,National Pride,,,
Leon Goretzka,Leon,Goretzka,Germany,06-02-95,511,0.14,0.29,0.22,8,0.15,Top Scorer,,,
Thomas Müller,Thomas,Müller,Germany,13-09-89,522,0.37,0.31,0.34,13,-0.06,Neutral,,,
Ilkay Gündogan,Ilkay,Gündogan,Germany,24-10-90,633,0.14,0.2,0.17,12,0.06,Neutral,,,
Toni Kroos,Toni,Kroos,Germany,04-01-90,752,0.11,0.16,0.14,13,0.05,Neutral,,,
Timo Werner,Timo,Werner,Germany,06-03-96,1166,0.4,0.38,0.39,7,-0.02,Neutral,,,
Mesut Özil,Mesut,Özil,Germany,15-10-88,1458,0.14,0.18,0.16,14,0.04,Neutral,,,
André Schürrle,André,Schürrle,Germany,06-11-90,19031,0.23,0.41,0.32,11,0.18,Top Scorer,,,
Mario Gómez,Mario,Gómez,Germany,10-07-85,26314,0.49,0.37,0.43,15,-0.12,Underscorer,,,
Bastian Schweinsteiger,Bastian,Schweinsteiger,Germany,01-08-84,50914,0.13,0.14,0.14,14,0.01,Neutral,,,
Miroslav Klose,Miroslav,Klose,Germany,09-06-78,115068,0.4,0.35,0.38,13,-0.05,Neutral,,,
Kostas Mitroglou,Kostas,Mitroglou,Greece,12-03-88,462,0.31,0.23,0.27,13,-0.08,Neutral,,,
Vasilis Torosidis,Vasilis,Torosidis,Greece,10-06-85,1599,0.09,0.06,0.08,13,-0.03,Neutral,,,
Kostas Fortounis,Kostas,Fortounis,Greece,16-10-92,1609,0.12,0.16,0.14,10,0.04,Neutral,,,
Theofanis Gekas,Theofanis,Gekas,Greece,23-05-80,105229,0.42,0.23,0.33,13,-0.19,Underscorer,,,
Angelos Basinas,Angelos,Basinas,Greece,01-03-76,113866,0.01,0.08,0.05,12,0.07,Neutral,,,
Angelos Charisteas,Angelos,Charisteas,Greece,02-09-80,113873,0.22,0.27,0.25,12,0.05,Neutral,,,
Georgios Karagounis,Georgios,Karagounis,Greece,06-03-77,114780,0.07,0.05,0.06,16,-0.02,Neutral,,,
Dimitris Salpingidis,Dimitris,Salpingidis,Greece,18-08-81,117939,0.32,0.06,0.19,11,-0.26,Extreme Underscorer,,,
Kostas Katsouranis,Kostas,Katsouranis,Greece,21-06-79,117941,0.13,0.08,0.11,14,-0.05,Neutral,,,
Ádám Szalai,Ádám,Szalai,Hungary,09-12-87,729,0.2,0.24,0.22,11,0.04,Neutral,,,
Szabolcs Huszti,Szabolcs,Huszti,Hungary,18-04-83,2343,0.19,0.05,0.12,15,-0.14,Underscorer,,,
Tamás Priskin,Tamás,Priskin,Hungary,06-06-88,28482,0.03,0,0.02,12,-0.03,Neutral,,,
Sándor Torghelle,Sándor,Torghelle,Hungary,05-05-82,28572,0.23,0.62,0.43,15,0.39,National Pride,,,
Vladimir Koman,Vladimir,Koman,Hungary,16-03-89,29742,0.05,0.13,0.09,13,0.08,Neutral,,,
Balázs Dzsudzsák,Balázs,Dzsudzsák,Hungary,23-12-86,50600,0.21,0.21,0.21,14,0,Neutral,,,
Nemanja Nikolic,Nemanja,Nikolic,Hungary,31-12-87,50917,0.51,0.56,0.54,12,0.05,Neutral,,,
Imre Szabics,Imre,Szabics,Hungary,22-03-81,210659,0.15,0.36,0.26,9,0.21,National Pride,,,
Krisztián Kenesei,Krisztián,Kenesei,Hungary,07-01-77,227695,0.23,0.31,0.27,10,0.08,Neutral,,,
Arnor Traustason,Arnor,Traustason,Iceland,30-04-93,1966,0.18,0.1,0.14,11,-0.08,Neutral,,,
Ragnar Sigurdsson,Ragnar,Sigurdsson,Iceland,19-06-86,2786,0.05,0.03,0.04,13,-0.02,Neutral,,,
Kári Árnason,Kári,Árnason,Iceland,13-10-82,2789,0.05,0.04,0.05,16,-0.01,Neutral,,,
Birkir Bjarnason,Birkir,Bjarnason,Iceland,27-05-88,2791,0.15,0.08,0.12,13,-0.07,Neutral,,,
Gylfi Sigurdsson,Gylfi,Sigurdsson,Iceland,08-09-89,2795,0.25,0.24,0.25,12,-0.01,Neutral,,,
Alfred Finnbogason,Alfred,Finnbogason,Iceland,01-02-89,2797,0.44,0.28,0.36,13,-0.16,Underscorer,,,
Kjartan Finnbogason,Kjartan,Finnbogason,Iceland,09-07-86,15678,0.35,0.17,0.26,13,-0.18,Underscorer,,,
Gunnar Thorvaldsson,Gunnar,Thorvaldsson,Iceland,01-04-82,89711,0.27,0.06,0.17,13,-0.21,Extreme Underscorer,,,
Heidar Helguson,Heidar,Helguson,Iceland,22-08-77,114869,0.29,0.12,0.21,10,-0.17,Underscorer,,,
Stephen Ward,Stephen,Ward,Ireland,20-08-85,18919,0.04,0.02,0.03,14,-0.02,Neutral,,,
Robert Brady,Robert,Brady,Ireland,14-01-92,18921,0.09,0.16,0.13,10,0.07,Neutral,,,
Jeff Hendrick,Jeff,Hendrick,Ireland,31-01-92,18924,0.09,0.02,0.06,10,-0.07,Neutral,,,
Shane Long,Shane,Long,Ireland,22-01-87,18956,0.21,0.19,0.2,15,-0.02,Neutral,,,
Shane Duffy,Shane,Duffy,Ireland,01-01-92,18962,0.05,0.04,0.05,11,-0.01,Neutral,,,
James McClean,James,McClean,Ireland,22-04-89,19507,0.1,0.11,0.11,10,0.01,Neutral,,,
Aiden McGeady,Aiden,McGeady,Ireland,04-04-86,19907,0.18,0.03,0.11,15,-0.15,Underscorer,,,
Stephen Ireland,Stephen,Ireland,Ireland,22-08-86,90492,0.06,0.4,0.23,14,0.34,National Pride,,,
Robbie Keane,Robbie,Keane,Ireland,08-07-80,105424,0.48,0.42,0.45,19,-0.06,Neutral,,,
Antonio Candreva,Antonio,Candreva,Italy,28-02-87,202,0.13,0.1,0.12,14,-0.03,Neutral,,,
Lorenzo Insigne,Lorenzo,Insigne,Italy,04-06-91,331,0.25,0.29,0.27,10,0.04,Neutral,,,
Daniele De Rossi,Daniele,De Rossi,Italy,24-07-83,779,0.09,0.17,0.13,15,0.08,Neutral,,,
Giorgio Chiellini,Giorgio,Chiellini,Italy,14-08-84,856,0.07,0.05,0.06,17,-0.02,Neutral,,,
Ciro Immobile,Ciro,Immobile,Italy,20-02-90,1863,0.42,0.19,0.31,12,-0.23,Extreme Underscorer,,,
Mario Balotelli,Mario,Balotelli,Italy,12-08-90,1917,0.39,0.27,0.33,13,-0.12,Underscorer,,,
Graziano Pellè,Graziano,Pellè,Italy,15-07-85,12765,0.39,0.43,0.41,15,0.04,Neutral,,,
Fabio Quagliarella,Fabio,Quagliarella,Italy,31-01-83,30463,0.35,0.22,0.29,15,-0.13,Underscorer,,,
Andrea Belotti,Andrea,Belotti,Italy,20-12-93,30509,0.35,0.19,0.27,9,-0.16,Underscorer,,,
Francesco Totti,Francesco,Totti,Italy,27-09-76,91371,0.42,0.08,0.25,12,-0.34,Extreme Underscorer,,,
Alberto Gilardino,Alberto,Gilardino,Italy,05-07-82,91419,0.33,0.36,0.35,13,0.03,Neutral,,,
Andrea Pirlo,Andrea,Pirlo,Italy,19-05-79,105405,0.09,0.08,0.09,15,-0.01,Neutral,,,
Antonio Di Natale,Antonio,Di Natale,Italy,13-10-77,115141,0.51,0.36,0.44,11,-0.15,Underscorer,,,
Luca Toni,Luca,Toni,Italy,26-05-77,115142,0.47,0.16,0.32,11,-0.31,Extreme Underscorer,,,
Antonio Cassano,Antonio,Cassano,Italy,12-07-82,115145,0.23,0.18,0.21,12,-0.05,Neutral,,,
Vincent Janssen,Vincent,Janssen,Netherlands,15-06-94,183,0.32,0.56,0.44,7,0.24,National Pride,,,
Luuk de Jong,Luuk,de Jong,Netherlands,27-08-90,246,0.39,0.22,0.31,12,-0.17,Underscorer,,,
Georginio Wijnaldum,Georginio,Wijnaldum,Netherlands,11-11-90,300,0.21,0.28,0.25,14,0.07,Neutral,,,
Arjen Robben,Arjen,Robben,Netherlands,23-01-84,516,0.38,0.57,0.48,15,0.19,Top Scorer,,,
Klaas-Jan Huntelaar,Klaas-Jan,Huntelaar,Netherlands,12-08-83,551,0.55,0.5,0.53,15,-0.05,Neutral,,,
Memphis Depay,Memphis,Depay,Netherlands,13-02-94,667,0.36,0.36,0.36,9,0,Neutral,,,
Quincy Promes,Quincy,Promes,Netherlands,04-01-92,2062,0.38,0.12,0.25,9,-0.26,Extreme Underscorer,,,
Ryan Babel,Ryan,Babel,Netherlands,19-12-86,19034,0.21,0.27,0.24,14,0.06,Neutral,,,
Luciano Narsingh,Luciano,Narsingh,Netherlands,13-09-90,19339,0.14,0.13,0.14,12,-0.01,Neutral,,,
Davy Klaassen,Davy,Klaassen,Netherlands,21-02-93,25321,0.2,0.37,0.29,9,0.17,Top Scorer,,,
Robin van Persie,Robin,van Persie,Netherlands,06-08-83,37162,0.45,0.26,0.36,16,-0.19,Underscorer,,,
Ibrahim Afellay,Ibrahim,Afellay,Netherlands,02-04-86,72157,0.11,0.09,0.1,15,-0.02,Neutral,,,
Dirk Kuyt,Dirk,Kuyt,Netherlands,22-07-80,93990,0.35,0.16,0.26,20,-0.19,Underscorer,,,
Rafael van der Vaart,Rafael,van der Vaart,Netherlands,11-02-83,114799,0.23,0.26,0.25,14,0.03,Neutral,,,
Gareth McAuley,Gareth,McAuley,Northern-Ireland,05-12-79,1742,0.06,0.05,0.06,15,-0.01,Neutral,,,
Steven Davis,Steven,Davis,Northern-Ireland,01-01-85,1749,0.07,0.11,0.09,16,0.04,Neutral,,,
Kyle Lafferty,Kyle,Lafferty,Northern-Ireland,16-09-87,1759,0.22,0.16,0.19,15,-0.06,Neutral,,,
Jonny Evans,Jonny,Evans,Northern-Ireland,03-01-88,18772,0.04,0.04,0.04,15,0,Neutral,,,
Conor Washington,Conor,Washington,Northern-Ireland,18-05-92,19110,0.18,0.12,0.15,8,-0.06,Neutral,,,
Paddy McNair,Paddy,McNair,Northern-Ireland,27-04-95,19242,0.1,0.1,0.1,6,0,Neutral,,,
Josh Magennis,Josh,Magennis,Northern-Ireland,15-08-90,19715,0.16,0.07,0.12,11,-0.09,Neutral,,,
Niall McGinn,Niall,McGinn,Northern-Ireland,20-07-87,44817,0.23,0.06,0.15,11,-0.17,Underscorer,,,
David Healy,David,Healy,Northern-Ireland,08-05-79,117487,0.17,0.33,0.25,10,0.16,Top Scorer,,,
Warren Feeney,Warren,Feeney,Northern-Ireland,17-01-81,232231,0.07,0.15,0.11,7,0.08,Neutral,,,
Erling Haaland,Erling,Haaland,Norway,21-07-00,1100,0.44,0,0.22,5,-0.44,Extreme Underscorer,,,
Alexander Sørloth,Alexander,Sørloth,Norway,07-02-93,1851,0.12,0.11,0.12,11,-0.01,Neutral,,,
Ola Kamara,Ola,Kamara,Norway,15-10-89,12888,0.36,0.42,0.39,12,0.06,Neutral,,,
Joshua King,Joshua,King,Norway,15-01-92,18881,0.18,0.21,0.2,11,0.03,Neutral,,,
Mohamed Elyounoussi,Mohamed,Elyounoussi,Norway,04-08-94,18946,0.28,0.13,0.21,10,-0.15,Underscorer,,,
Stefan Johansen,Stefan,Johansen,Norway,08-01-91,19159,0.14,0.14,0.14,12,0,Neutral,,,
Tarik Elyounoussi,Tarik,Elyounoussi,Norway,23-02-88,48152,0.23,0.09,0.16,16,-0.14,Underscorer,,,
Erik Huseklepp,Erik,Huseklepp,Norway,05-09-84,94593,0.2,0.12,0.16,14,-0.08,Neutral,,,
Mohammed Abdellaoue,Mohammed,Abdellaoue,Norway,23-10-85,99991,0.25,0.19,0.22,11,-0.06,Neutral,,,
John Arne Riise,John Arne,Riise,Norway,24-09-80,114787,0.04,0.16,0.1,15,0.12,Top Scorer,,,
Lukasz Teodorczyk,Lukasz,Teodorczyk,Poland,03-06-85,10,0.1,0.03,0.07,16,-0.07,Neutral,,,
Kamil Glik,Kamil,Glik,Poland,03-02-88,97,0.06,0.04,0.05,12,-0.02,Neutral,,,
Piotr Zielinski,Piotr,Zielinski,Poland,20-05-94,329,0.07,0.15,0.11,8,0.08,Neutral,,,
Arkadiusz Milik,Arkadiusz,Milik,Poland,28-02-94,333,0.39,0.26,0.33,10,-0.13,Underscorer,,,
Grzegorz Krychowiak,Grzegorz,Krychowiak,Poland,29-01-90,481,0.07,0.02,0.05,11,-0.05,Neutral,,,
Robert Lewandowski,Robert,Lewandowski,Poland,21-08-88,521,0.69,0.52,0.61,13,-0.17,Underscorer,,,
Krzysztof Piatek,Krzysztof,Piatek,Poland,01-07-95,1651,0.32,0.52,0.42,7,0.2,National Pride,,,
Jakub Blaszczykowski,Jakub,Blaszczykowski,Poland,14-12-85,3006,0.14,0.2,0.17,16,0.06,Neutral,,,
Kamil Grosicki,Kamil,Grosicki,Poland,08-06-88,3012,0.19,0.14,0.17,13,-0.05,Neutral,,,
Waldemar Sobota,Waldemar,Sobota,Poland,19-05-87,24943,0.12,0.39,0.26,11,0.27,National Pride,,,
Pepe,,Pepe,Portugal,26-02-83,373,0.06,0.05,0.06,16,-0.01,Neutral,,,
Éder Lopes,Éder,Lopes,Portugal,22-12-87,492,0.23,0.1,0.17,12,-0.13,Underscorer,,,
Bernardo Silva,Bernardo,Silva,Portugal,10-08-94,636,0.16,0.15,0.16,7,-0.01,Neutral,,,
Cristiano Ronaldo,Cristiano,Ronaldo,Portugal,05-02-85,874,0.73,0.57,0.65,18,-0.16,Underscorer,,,
Gonçalo Guedes,Gonçalo,Guedes,Portugal,29-11-96,925,0.12,0.27,0.2,6,0.15,Top Scorer,,,
Ricardo Quaresma,Ricardo,Quaresma,Portugal,26-09-83,1989,0.22,0.09,0.16,16,-0.13,Underscorer,,,
André Silva,André,Silva,Portugal,06-11-95,2063,0.34,0.31,0.33,5,-0.03,Neutral,,,
João Moutinho,João,Moutinho,Portugal,08-09-86,2677,0.08,0.04,0.06,16,-0.04,Neutral,,,
Bruno Alves,Bruno,Alves,Portugal,27-11-81,31015,0.06,0.08,0.07,15,0.02,Neutral,,,
Hugo Almeida,Hugo,Almeida,Portugal,23-05-84,41658,0.26,0.22,0.24,15,-0.04,Neutral,,,
Silvestre Varela,Silvestre,Varela,Portugal,02-02-85,50123,0.15,0.12,0.14,15,-0.03,Neutral,,,
Luís Nani,Luís,Nani,Portugal,17-11-86,50940,0.18,0.12,0.15,14,-0.06,Neutral,,,
